timestamp,longitude,latitude,routine,start_at,end_at
1556799325259,127.3602319,36.3743372,STUDY,2019-05-02 21:15:00+09:00,2019-05-02 21:30:00+09:00
1556800833589,127.3603016,36.3743409,STUDY,2019-05-02 21:30:00+09:00,2019-05-02 21:45:00+09:00
1556801105000,127.3604789,36.3743968,STUDY,2019-05-02 21:45:00+09:00,2019-05-02 22:00:00+09:00
1556805062846,127.3603119,36.374345,STUDY,2019-05-02 22:45:00+09:00,2019-05-02 23:00:00+09:00
1556806992173,127.3602447,36.374343,STUDY,2019-05-02 23:15:00+09:00,2019-05-02 23:30:00+09:00
1556809063086,127.3603158,36.3740891,STUDY,2019-05-02 23:45:00+09:00,2019-05-03 00:00:00+09:00
1556809252266,127.3575808,36.3736542,INDOOR,2019-05-03 00:00:00+09:00,2019-05-03 00:15:00+09:00
1556810101846,127.3574843,36.3738112,INDOOR,2019-05-03 00:15:00+09:00,2019-05-03 00:30:00+09:00
1556811415725,127.357472,36.373733,INDOOR,2019-05-03 00:30:00+09:00,2019-05-03 00:45:00+09:00
1556811902222,127.3604555,36.3740674,STUDY,2019-05-03 00:45:00+09:00,2019-05-03 01:00:00+09:00
1556816889728,127.360323,36.3742852,STUDY,2019-05-03 02:00:00+09:00,2019-05-03 02:15:00+09:00
1556848089040,127.357277,36.3736243,INDOOR,2019-05-03 10:45:00+09:00,2019-05-03 11:00:00+09:00
1556849325065,127.357282,36.3736142,INDOOR,2019-05-03 11:00:00+09:00,2019-05-03 11:15:00+09:00
1556849700498,127.3570998,36.3738429,INDOOR,2019-05-03 11:15:00+09:00,2019-05-03 11:30:00+09:00
1556850613000,127.3571814,36.3736194,INDOOR,2019-05-03 11:30:00+09:00,2019-05-03 11:45:00+09:00
1556851915510,127.3572633,36.3736658,INDOOR,2019-05-03 11:45:00+09:00,2019-05-03 12:00:00+09:00
1556852901710,127.3572935,36.3737194,INDOOR,2019-05-03 12:00:00+09:00,2019-05-03 12:15:00+09:00
1556863235859,127.3572589,36.3736988,INDOOR,2019-05-03 15:00:00+09:00,2019-05-03 15:15:00+09:00
1556872177443,127.357259,36.3736988,INDOOR,2019-05-03 17:15:00+09:00,2019-05-03 17:30:00+09:00
1556872538178,127.3572632,36.3736663,INDOOR,2019-05-03 17:30:00+09:00,2019-05-03 17:45:00+09:00
1556873160370,127.3572648,36.3736097,INDOOR,2019-05-03 17:45:00+09:00,2019-05-03 18:00:00+09:00
1556874172957,127.3572503,36.3736211,INDOOR,2019-05-03 18:00:00+09:00,2019-05-03 18:15:00+09:00
1556875069611,127.357274,36.3736466,INDOOR,2019-05-03 18:15:00+09:00,2019-05-03 18:30:00+09:00
1556876767233,127.3574213,36.3737461,INDOOR,2019-05-03 18:45:00+09:00,2019-05-03 19:00:00+09:00
1556878016999,127.3593592,36.3736649,MEAL,2019-05-03 19:00:00+09:00,2019-05-03 19:15:00+09:00
1556878551999,127.3571968,36.3735899,INDOOR,2019-05-03 19:15:00+09:00,2019-05-03 19:30:00+09:00
1556880402300,127.357283,36.373631,INDOOR,2019-05-03 19:45:00+09:00,2019-05-03 20:00:00+09:00
1556882644092,127.357283,36.3737111,INDOOR,2019-05-03 20:15:00+09:00,2019-05-03 20:30:00+09:00
1556883062582,127.3575925,36.3737817,INDOOR,2019-05-03 20:30:00+09:00,2019-05-03 20:45:00+09:00
1556883905999,127.3571086,36.3740178,INDOOR,2019-05-03 20:45:00+09:00,2019-05-03 21:00:00+09:00
1556885046493,127.3574537,36.3736975,INDOOR,2019-05-03 21:00:00+09:00,2019-05-03 21:15:00+09:00
1556886401527,127.3572823,36.3736179,INDOOR,2019-05-03 21:15:00+09:00,2019-05-03 21:30:00+09:00
1556887512156,127.3572594,36.3735182,INDOOR,2019-05-03 21:45:00+09:00,2019-05-03 22:00:00+09:00
1556939584975,127.3590995,36.3736738,MEAL,2019-05-04 12:00:00+09:00,2019-05-04 12:15:00+09:00
1556940872877,127.3590958,36.3737306,MEAL,2019-05-04 12:30:00+09:00,2019-05-04 12:45:00+09:00
1557137207851,127.3572507,36.3736753,INDOOR,2019-05-06 19:00:00+09:00,2019-05-06 19:15:00+09:00
1557138135806,127.357263,36.3736667,INDOOR,2019-05-06 19:15:00+09:00,2019-05-06 19:30:00+09:00
