timestamp,start_at,end_at,diff,routine,user_id
1556623401240,2019-04-30 20:30:00+09:00,2019-05-01 01:00:00+09:00,0 days 04:29:11.917000,SLEEP,P3019
1556640791496,2019-05-01 01:15:00+09:00,2019-05-01 07:15:00+09:00,0 days 06:07:00.545000,SLEEP,P3019
1556723583771,2019-05-02 00:15:00+09:00,2019-05-02 07:15:00+09:00,0 days 07:06:58.430000,SLEEP,P3019
1556905195857,2019-05-04 02:45:00+09:00,2019-05-04 08:00:00+09:00,0 days 05:19:03.602000,SLEEP,P3019
1556973315754,2019-05-04 21:30:00+09:00,2019-05-05 08:30:00+09:00,0 days 10:54:48.546000,SLEEP,P3019
1557075542747,2019-05-06 02:00:00+09:00,2019-05-06 07:15:00+09:00,0 days 05:21:06.281000,SLEEP,P3019
