timestamp,start_at,end_at,diff,routine,user_id
1556647611019,2019-05-01 03:00:00+09:00,2019-05-01 07:45:00+09:00,0 days 04:33:10.336000,SLEEP,P3022
1556817591046,2019-05-03 02:15:00+09:00,2019-05-03 08:15:00+09:00,0 days 05:55:58.483000,SLEEP,P3022
1556882385812,2019-05-03 20:15:00+09:00,2019-05-04 02:30:00+09:00,0 days 06:11:36.488000,SLEEP,P3022
1557003080047,2019-05-05 05:45:00+09:00,2019-05-05 11:45:00+09:00,0 days 06:00:41.673000,SLEEP,P3022
1557058384454,2019-05-05 21:15:00+09:00,2019-05-06 06:15:00+09:00,0 days 08:56:55.569000,SLEEP,P3022
