longitude,latitude,routine,start_at,user_id,end_at,weekday
127.3624047,36.3703789,CLASS,2019-04-30 10:00:00+09:00,P3027,2019-04-30 10:15:00+09:00,1
127.3624762,36.3732481,CLASS,2019-04-30 11:30:00+09:00,P3027,2019-04-30 11:45:00+09:00,1
127.3581525,36.37372,INDOOR,2019-04-30 12:00:00+09:00,P3027,2019-04-30 12:15:00+09:00,1
127.3582219,36.3737046,INDOOR,2019-04-30 15:00:00+09:00,P3027,2019-04-30 15:15:00+09:00,1
127.3581587,36.3737191,INDOOR,2019-04-30 15:15:00+09:00,P3027,2019-04-30 15:30:00+09:00,1
127.3581602,36.3737217,INDOOR,2019-04-30 15:30:00+09:00,P3027,2019-04-30 15:45:00+09:00,1
127.3583729,36.3736497,INDOOR,2019-04-30 15:45:00+09:00,P3027,2019-04-30 16:00:00+09:00,1
127.3635735,36.3703088,CLASS,2019-04-30 16:00:00+09:00,P3027,2019-04-30 16:15:00+09:00,1
127.363443,36.3702198,CLASS,2019-04-30 16:15:00+09:00,P3027,2019-04-30 16:30:00+09:00,1
127.3635482,36.3702388,CLASS,2019-04-30 16:30:00+09:00,P3027,2019-04-30 16:45:00+09:00,1
127.3636215,36.3703571,CLASS,2019-04-30 16:45:00+09:00,P3027,2019-04-30 17:00:00+09:00,1
127.3636943,36.3702751,CLASS,2019-04-30 17:00:00+09:00,P3027,2019-04-30 17:15:00+09:00,1
127.3635391,36.370158,CLASS,2019-04-30 17:15:00+09:00,P3027,2019-04-30 17:30:00+09:00,1
127.3635391,36.3702076,CLASS,2019-04-30 17:30:00+09:00,P3027,2019-04-30 17:45:00+09:00,1
127.3635425,36.3702122,CLASS,2019-04-30 17:45:00+09:00,P3027,2019-04-30 18:00:00+09:00,1
127.363534,36.3702,CLASS,2019-04-30 18:00:00+09:00,P3027,2019-04-30 18:15:00+09:00,1
127.3636602,36.3702515,CLASS,2019-04-30 18:15:00+09:00,P3027,2019-04-30 18:30:00+09:00,1
127.3636344,36.3702861,CLASS,2019-04-30 18:30:00+09:00,P3027,2019-04-30 18:45:00+09:00,1
127.3640916,36.3675714,CLASS,2019-04-30 19:00:00+09:00,P3027,2019-04-30 19:15:00+09:00,1
127.3642294,36.367602,CLASS,2019-04-30 19:15:00+09:00,P3027,2019-04-30 19:30:00+09:00,1
127.3641468,36.3675497,CLASS,2019-04-30 19:30:00+09:00,P3027,2019-04-30 19:45:00+09:00,1
127.3642131,36.3674865,CLASS,2019-04-30 19:45:00+09:00,P3027,2019-04-30 20:00:00+09:00,1
127.3642562,36.3675232,CLASS,2019-04-30 20:00:00+09:00,P3027,2019-04-30 20:15:00+09:00,1
127.3581369,36.3737324,INDOOR,2019-04-30 20:15:00+09:00,P3027,2019-04-30 20:30:00+09:00,1
127.3581789,36.3736944,INDOOR,2019-04-30 21:45:00+09:00,P3027,2019-04-30 22:00:00+09:00,1
127.3581274,36.3737064,INDOOR,2019-05-01 00:00:00+09:00,P3027,2019-05-01 00:15:00+09:00,2
127.3581646,36.3737527,INDOOR,2019-05-01 00:15:00+09:00,P3027,2019-05-01 00:30:00+09:00,2
127.3583359,36.3737135,INDOOR,2019-05-01 00:30:00+09:00,P3027,2019-05-01 00:45:00+09:00,2
127.3584314,36.3736521,INDOOR,2019-05-01 00:45:00+09:00,P3027,2019-05-01 01:00:00+09:00,2
127.3584734,36.3736522,INDOOR,2019-05-01 01:15:00+09:00,P3027,2019-05-01 01:30:00+09:00,2
127.3581901,36.3736659,INDOOR,2019-05-01 01:30:00+09:00,P3027,2019-05-01 01:45:00+09:00,2
127.3584314,36.3736521,INDOOR,2019-05-01 01:45:00+09:00,P3027,2019-05-01 02:00:00+09:00,2
127.3583206,36.3737068,INDOOR,2019-05-01 02:00:00+09:00,P3027,2019-05-01 02:15:00+09:00,2
127.3584314,36.3736521,INDOOR,2019-05-01 02:15:00+09:00,P3027,2019-05-01 02:30:00+09:00,2
127.3583649,36.3736122,INDOOR,2019-05-01 02:30:00+09:00,P3027,2019-05-01 02:45:00+09:00,2
127.3583758,36.3736679,INDOOR,2019-05-01 02:45:00+09:00,P3027,2019-05-01 03:00:00+09:00,2
127.3583932,36.3737432,INDOOR,2019-05-01 03:00:00+09:00,P3027,2019-05-01 03:15:00+09:00,2
127.3581423,36.3737241,INDOOR,2019-05-01 05:15:00+09:00,P3027,2019-05-01 05:30:00+09:00,2
127.3581565,36.3737217,INDOOR,2019-05-01 06:30:00+09:00,P3027,2019-05-01 06:45:00+09:00,2
127.3580441,36.3736911,INDOOR,2019-05-01 07:15:00+09:00,P3027,2019-05-01 07:30:00+09:00,2
127.3581433,36.3737253,INDOOR,2019-05-01 07:45:00+09:00,P3027,2019-05-01 08:00:00+09:00,2
127.3581441,36.3737248,INDOOR,2019-05-01 09:00:00+09:00,P3027,2019-05-01 09:15:00+09:00,2
127.3581496,36.3737206,INDOOR,2019-05-01 10:15:00+09:00,P3027,2019-05-01 10:30:00+09:00,2
127.3581723,36.3736949,INDOOR,2019-05-01 14:15:00+09:00,P3027,2019-05-01 14:30:00+09:00,2
127.3626071,36.3733354,CLASS,2019-05-01 19:00:00+09:00,P3027,2019-05-01 19:15:00+09:00,2
127.3626242,36.3733646,CLASS,2019-05-01 19:15:00+09:00,P3027,2019-05-01 19:30:00+09:00,2
127.3625719,36.3733121,CLASS,2019-05-01 19:45:00+09:00,P3027,2019-05-01 20:00:00+09:00,2
127.3626372,36.3732119,CLASS,2019-05-01 20:00:00+09:00,P3027,2019-05-01 20:15:00+09:00,2
127.3626635,36.3733421,CLASS,2019-05-01 20:15:00+09:00,P3027,2019-05-01 20:30:00+09:00,2
127.3625354,36.3733359,CLASS,2019-05-01 20:30:00+09:00,P3027,2019-05-01 20:45:00+09:00,2
127.3625215,36.3732858,CLASS,2019-05-01 20:45:00+09:00,P3027,2019-05-01 21:00:00+09:00,2
127.362614,36.3731537,CLASS,2019-05-01 21:00:00+09:00,P3027,2019-05-01 21:15:00+09:00,2
127.3605457,36.3732875,INDOOR,2019-05-01 21:15:00+09:00,P3027,2019-05-01 21:30:00+09:00,2
127.3605397,36.3733252,INDOOR,2019-05-01 21:30:00+09:00,P3027,2019-05-01 21:45:00+09:00,2
127.3584056,36.3736365,INDOOR,2019-05-01 21:45:00+09:00,P3027,2019-05-01 22:00:00+09:00,2
127.3581563,36.3737195,INDOOR,2019-05-01 22:00:00+09:00,P3027,2019-05-01 22:15:00+09:00,2
127.3582018,36.3736879,INDOOR,2019-05-02 01:30:00+09:00,P3027,2019-05-02 01:45:00+09:00,3
127.358154,36.3737196,INDOOR,2019-05-02 05:15:00+09:00,P3027,2019-05-02 05:30:00+09:00,3
127.3581566,36.3737204,INDOOR,2019-05-02 06:30:00+09:00,P3027,2019-05-02 06:45:00+09:00,3
127.3581586,36.3737232,INDOOR,2019-05-02 07:15:00+09:00,P3027,2019-05-02 07:30:00+09:00,3
127.358155,36.37372,INDOOR,2019-05-02 07:45:00+09:00,P3027,2019-05-02 08:00:00+09:00,3
127.3582194,36.373626,INDOOR,2019-05-02 08:15:00+09:00,P3027,2019-05-02 08:30:00+09:00,3
127.3601834,36.3734936,INDOOR,2019-05-02 09:00:00+09:00,P3027,2019-05-02 09:15:00+09:00,3
127.3624512,36.3703198,CLASS,2019-05-02 10:15:00+09:00,P3027,2019-05-02 10:30:00+09:00,3
