timestamp,start_at,end_at,diff,routine,user_id
1556643171104,2019-05-01 02:00:00+09:00,2019-05-01 06:30:00+09:00,0 days 04:36:37.538000,SLEEP,P3025
1556728045751,2019-05-02 01:30:00+09:00,2019-05-02 07:15:00+09:00,0 days 05:40:36.810000,SLEEP,P3025
1556813702343,2019-05-03 01:15:00+09:00,2019-05-03 05:45:00+09:00,0 days 04:24:59.574000,SLEEP,P3025
1556899041731,2019-05-04 01:00:00+09:00,2019-05-04 06:00:00+09:00,0 days 05:07:30.540000,SLEEP,P3025
1556985121720,2019-05-05 00:45:00+09:00,2019-05-05 08:15:00+09:00,0 days 07:23:28.109000,SLEEP,P3025
