timestamp,start_at,end_at,diff,routine,user_id
1556640050404,2019-05-01 01:00:00+09:00,2019-05-01 07:00:00+09:00,0 days 05:59:09.756000,SLEEP,P3030
1556726923591,2019-05-02 01:15:00+09:00,2019-05-02 08:00:00+09:00,0 days 06:56:26.466000,SLEEP,P3030
1556814308009,2019-05-03 01:30:00+09:00,2019-05-03 07:00:00+09:00,0 days 05:34:52.175000,SLEEP,P3030
1556898756370,2019-05-04 01:00:00+09:00,2019-05-04 10:00:00+09:00,0 days 09:02:59.849000,SLEEP,P3030
1556991906061,2019-05-05 02:45:00+09:00,2019-05-05 10:15:00+09:00,0 days 07:30:28.045000,SLEEP,P3030
1557077214237,2019-05-06 02:30:00+09:00,2019-05-06 07:00:00+09:00,0 days 04:33:05.919000,SLEEP,P3030
