longitude,latitude,routine,start_at,user_id,end_at,weekday
127.3560615,36.3706296,INDOOR,2019-04-30 09:15:00+09:00,P3018,2019-04-30 09:30:00+09:00,1
127.3560218,36.3706348,INDOOR,2019-04-30 09:45:00+09:00,P3018,2019-04-30 10:00:00+09:00,1
127.3560783,36.3706045,INDOOR,2019-04-30 10:00:00+09:00,P3018,2019-04-30 10:15:00+09:00,1
127.3626114,36.3705042,CLASS,2019-04-30 11:45:00+09:00,P3018,2019-04-30 12:00:00+09:00,1
127.3626456,36.3732578,CLASS,2019-04-30 14:15:00+09:00,P3018,2019-04-30 14:30:00+09:00,1
127.362639,36.3694865,STUDY,2019-04-30 16:45:00+09:00,P3018,2019-04-30 17:00:00+09:00,1
127.3560734,36.3706145,INDOOR,2019-04-30 19:00:00+09:00,P3018,2019-04-30 19:15:00+09:00,1
127.3560734,36.3706145,INDOOR,2019-04-30 19:15:00+09:00,P3018,2019-04-30 19:30:00+09:00,1
127.3560158,36.3706367,INDOOR,2019-04-30 19:30:00+09:00,P3018,2019-04-30 19:45:00+09:00,1
127.3560086,36.370637,INDOOR,2019-04-30 21:00:00+09:00,P3018,2019-04-30 21:15:00+09:00,1
127.3560734,36.3706145,INDOOR,2019-04-30 21:45:00+09:00,P3018,2019-04-30 22:00:00+09:00,1
127.3617968,36.3722436,EXERCISE,2019-04-30 22:00:00+09:00,P3018,2019-04-30 22:15:00+09:00,1
127.3616941,36.3721839,EXERCISE,2019-04-30 23:00:00+09:00,P3018,2019-04-30 23:15:00+09:00,1
127.3616965,36.3721871,EXERCISE,2019-04-30 23:15:00+09:00,P3018,2019-04-30 23:30:00+09:00,1
127.3617878,36.372218,EXERCISE,2019-05-01 00:00:00+09:00,P3018,2019-05-01 00:15:00+09:00,2
127.3560485,36.3706218,INDOOR,2019-05-01 00:15:00+09:00,P3018,2019-05-01 00:30:00+09:00,2
127.356168,36.3704785,INDOOR,2019-05-01 08:45:00+09:00,P3018,2019-05-01 09:00:00+09:00,2
127.3623725,36.3703808,CLASS,2019-05-01 09:00:00+09:00,P3018,2019-05-01 09:15:00+09:00,2
127.3624618,36.3704379,CLASS,2019-05-01 09:15:00+09:00,P3018,2019-05-01 09:30:00+09:00,2
127.3624464,36.3705019,CLASS,2019-05-01 09:45:00+09:00,P3018,2019-05-01 10:00:00+09:00,2
127.3624639,36.3704383,CLASS,2019-05-01 10:00:00+09:00,P3018,2019-05-01 10:15:00+09:00,2
127.3624489,36.3703794,CLASS,2019-05-01 10:15:00+09:00,P3018,2019-05-01 10:30:00+09:00,2
127.3560532,36.3706215,INDOOR,2019-05-01 10:30:00+09:00,P3018,2019-05-01 10:45:00+09:00,2
127.3560713,36.3706144,INDOOR,2019-05-01 10:45:00+09:00,P3018,2019-05-01 11:00:00+09:00,2
127.3560647,36.3706097,INDOOR,2019-05-01 11:00:00+09:00,P3018,2019-05-01 11:15:00+09:00,2
127.3560914,36.3705842,INDOOR,2019-05-01 11:15:00+09:00,P3018,2019-05-01 11:30:00+09:00,2
127.3557866,36.3706192,INDOOR,2019-05-01 11:30:00+09:00,P3018,2019-05-01 11:45:00+09:00,2
127.3561046,36.3705582,INDOOR,2019-05-01 12:00:00+09:00,P3018,2019-05-01 12:15:00+09:00,2
127.3560473,36.370621,INDOOR,2019-05-01 14:30:00+09:00,P3018,2019-05-01 14:45:00+09:00,2
127.3624834,36.3704302,CLASS,2019-05-01 15:45:00+09:00,P3018,2019-05-01 16:00:00+09:00,2
127.3560734,36.3706145,INDOOR,2019-05-01 16:30:00+09:00,P3018,2019-05-01 16:45:00+09:00,2
