timestamp,start_at,end_at,diff,routine,user_id
1556646859337,2019-05-01 03:00:00+09:00,2019-05-01 08:15:00+09:00,0 days 05:25:43.514000,SLEEP,P3029
1556736514174,2019-05-02 03:45:00+09:00,2019-05-02 08:15:00+09:00,0 days 04:26:47.946000,SLEEP,P3029
1556818724716,2019-05-03 02:45:00+09:00,2019-05-03 08:45:00+09:00,0 days 06:01:17.781000,SLEEP,P3029
1556909254829,2019-05-04 03:45:00+09:00,2019-05-04 09:15:00+09:00,0 days 05:22:39.026000,SLEEP,P3029
1556993208054,2019-05-05 03:00:00+09:00,2019-05-05 07:30:00+09:00,0 days 04:29:18.201000,SLEEP,P3029
1557081834574,2019-05-06 03:45:00+09:00,2019-05-06 12:00:00+09:00,0 days 08:11:30.170000,SLEEP,P3029
